url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,51,30
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,43,24
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,15,11
/Ladbaby/PowerPlanSwitcher/releases,11,10
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,6,3
/Ladbaby/PowerPlanSwitcher/tree/master,5,3
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/tree/master/image,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/LICENSE,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,2
