url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,58,42
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,42,23
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,16,11
/Ladbaby/PowerPlanSwitcher/tree/master,15,10
/Ladbaby/PowerPlanSwitcher/releases,10,10
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,6,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,3
/Ladbaby/PowerPlanSwitcher/pulls,3,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.ahk,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,2,2
