time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,31,12,8,2
2026-04-17 00:00:00+00:00,30,11,6,3
2026-04-18 00:00:00+00:00,6,5,1,1
2026-04-19 00:00:00+00:00,21,7,1,1
2026-04-20 00:00:00+00:00,27,9,6,4
2026-04-21 00:00:00+00:00,19,8,8,6
2026-04-22 00:00:00+00:00,64,16,1,1
2026-04-23 00:00:00+00:00,63,13,9,1
2026-04-24 00:00:00+00:00,21,5,8,2
2026-04-25 00:00:00+00:00,51,21,2,2
2026-04-26 00:00:00+00:00,37,10,5,4
2026-04-27 00:00:00+00:00,21,9,1,1
2026-04-28 00:00:00+00:00,21,7,0,0
2026-04-29 00:00:00+00:00,25,10,0,0
