time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,11,6,6,3
2026-07-14 00:00:00+00:00,21,8,2,1
2026-07-15 00:00:00+00:00,19,6,11,6
2026-07-16 00:00:00+00:00,17,8,4,1
2026-07-17 00:00:00+00:00,22,9,1,1
2026-07-18 00:00:00+00:00,17,8,34,7
2026-07-19 00:00:00+00:00,7,3,3,1
2026-07-20 00:00:00+00:00,31,12,3,1
2026-07-21 00:00:00+00:00,15,6,4,4
2026-07-22 00:00:00+00:00,9,5,35,5
2026-07-23 00:00:00+00:00,3,3,12,5
2026-07-24 00:00:00+00:00,1,1,7,3
2026-07-25 00:00:00+00:00,13,4,12,1
2026-07-26 00:00:00+00:00,10,5,18,6
