url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,53,43
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,28,18
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,9,7
/Ladbaby/PowerPlanSwitcher/releases,5,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,3,2
/Ladbaby/PowerPlanSwitcher/pulls,3,2
/Ladbaby/PowerPlanSwitcher/tree/master,2,2
/Ladbaby/PowerPlanSwitcher/labels/good first issue,1,1
/Ladbaby/PowerPlanSwitcher/projects,1,1
/Ladbaby/PowerPlanSwitcher/tree/master/icons,1,1
