url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,52,40
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,23,15
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,11,11
/Ladbaby/PowerPlanSwitcher/releases,8,8
/Ladbaby/PowerPlanSwitcher/tree/master,5,4
/Ladbaby/PowerPlanSwitcher/actions,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,2,2
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,2,2
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/LICENSE,1,1
