url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,50,35
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,41,21
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,15,10
/Ladbaby/PowerPlanSwitcher/releases,11,9
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,11,6
/Ladbaby/PowerPlanSwitcher/tree/master,9,7
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,3,3
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,1
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github/workflows,2,1
