url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,63,42
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,46,25
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,22,15
/Ladbaby/PowerPlanSwitcher/releases,11,10
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,6,5
/Ladbaby/PowerPlanSwitcher/tree/master,6,5
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,3
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/.github,2,2
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,2,2
