url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,55,41
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,38,22
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,14,11
/Ladbaby/PowerPlanSwitcher/tree/master,11,7
/Ladbaby/PowerPlanSwitcher/releases,8,8
/Ladbaby/PowerPlanSwitcher/tree/master/vbs,7,5
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,6,5
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,3,3
/Ladbaby/PowerPlanSwitcher/tree/master/.github,3,2
/Ladbaby/PowerPlanSwitcher/tree/master/image,3,2
