time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,9,7,10,4
2026-04-04 00:00:00+00:00,18,9,2,2
2026-04-05 00:00:00+00:00,1,1,3,2
2026-04-06 00:00:00+00:00,3,3,16,8
2026-04-07 00:00:00+00:00,10,8,5,3
2026-04-08 00:00:00+00:00,12,5,10,4
2026-04-09 00:00:00+00:00,19,6,25,7
2026-04-10 00:00:00+00:00,34,12,10,7
2026-04-11 00:00:00+00:00,43,15,8,7
2026-04-12 00:00:00+00:00,20,8,1,1
2026-04-13 00:00:00+00:00,34,11,8,5
2026-04-14 00:00:00+00:00,38,10,10,5
2026-04-15 00:00:00+00:00,14,5,5,3
2026-04-16 00:00:00+00:00,31,12,8,2
