url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,90,34
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,24,16
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,16,12
/Ladbaby/PowerPlanSwitcher/releases,12,10
/Ladbaby/PowerPlanSwitcher/blob/master/setting.ini,2,1
/Ladbaby/PowerPlanSwitcher/blame/master/README_cn.md,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,1,1
/Ladbaby/PowerPlanSwitcher/blob/master/README.md,1,1
/Ladbaby/PowerPlanSwitcher/issues,1,1
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.0,1,1
