url_path,views_total,views_unique
/Ladbaby/PowerPlanSwitcher,57,47
/Ladbaby/PowerPlanSwitcher/blob/master/README_cn.md,32,16
/Ladbaby/PowerPlanSwitcher/releases/tag/v1.0.1,7,7
/Ladbaby/PowerPlanSwitcher/releases,4,4
/Ladbaby/PowerPlanSwitcher/blob/master/PowerPlanSwitcher.exe,4,1
/Ladbaby/PowerPlanSwitcher/tree/master,3,3
/Ladbaby/PowerPlanSwitcher/blob/master/ListView.ahk,2,1
/Ladbaby/PowerPlanSwitcher/commit/0ff2a1bcc30c4f71b593a406ccc0d3a03f17957f,2,1
/Ladbaby/PowerPlanSwitcher/commit/217cbdd74825a5ff8507e9867272802f324bc944,2,1
/Ladbaby/PowerPlanSwitcher/commit/4ad7b09f30bb1dad9e79bd23763b1274fe5af49a,2,1
